Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/digital-prf/[id],208,1,11000.0,12706.385639826914,2139.7454159999966,36326.53091699999,1285.7548076923076,1.1613917166577232,0.0055836140223929,11000,11000,16000,16000,24000,31000,32000,32000,36000,36000,36000
PATCH,PATCH /api/digital-prf/[id] (autosave),293,0,9700.0,12584.117451372025,4858.627500000011,51097.97366699999,83.31740614334471,1.6359989085611197,0.0,9700,11000,13000,15000,26000,32000,37000,41000,51000,51000,51000
POST,POST /api/crew/login,400,292,39000.0,35864.56810022,33.17220799999987,62183.010125,285.05,2.23344560895716,1.630415294538727,39000,60000,60000,60000,61000,61000,62000,62000,62000,62000,62000
POST,POST /api/digital-prf (create),135,27,37000.0,35880.08905311109,11840.444458999997,62627.154875,121.2,0.7537878930230415,0.1507575786046083,37000,38000,40000,41000,54000,62000,62000,63000,63000,63000,63000
POST,POST /api/digital-prf/[id]/mark-time,216,1,10000.0,11444.359611300933,6934.083291999997,59274.23170900001,238.92592592592592,1.2060606288368665,0.0055836140223929,10000,11000,11000,12000,17000,19000,25000,25000,59000,59000,59000
,Aggregated,1252,321,11000.0,22357.584316801123,33.17220799999987,62627.154875,378.4656549520767,6.990684756035911,1.7923401011881208,11000,22000,35000,38000,60000,61000,62000,62000,63000,63000,63000
