Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/digital-prf/[id],704,5,3900.0,5836.134613356533,1526.4696660000254,27017.944708000017,1287.409090909091,1.175347004155761,0.008347634972697165,3900,6200,7600,8700,12000,15000,17000,19000,27000,27000,27000
PATCH,PATCH /api/digital-prf/[id] (autosave),1947,48,3700.0,4442.866458398562,1.0636250000004566,28905.343832999988,81.57267591165896,3.2505690583682765,0.08013729573789279,3700,4300,4800,5300,6400,7900,16000,22000,29000,29000,29000
POST,POST /api/crew/login,50,0,17000.0,18645.069484180003,9351.888084,30081.249833,783.0,0.08347634972697165,0.0,17000,22000,23000,24000,29000,30000,30000,30000,30000,30000,30000
POST,POST /api/digital-prf (create),677,319,12000.0,12227.34021616544,0.6971249999878637,40118.733125,64.86262924667652,1.1302697753031963,0.5325791112580792,12000,18000,21000,22000,30000,35000,38000,39000,40000,40000,40000
POST,POST /api/digital-prf/[id]/mark-time,714,16,3700.0,4272.511948582632,3.9941670000018803,19169.147000000066,234.14425770308122,1.1920422741011552,0.02671243191263093,3700,4300,6000,6200,7100,7800,8900,11000,19000,19000,19000
POST,POST /api/digital-prf/[id]/submit,254,11,3800.0,5511.496996094484,2.1567080000011174,25248.62862500001,191.29133858267716,0.424059856613016,0.018364796939933765,3800,5600,6500,7200,12000,19000,23000,24000,25000,25000,25000
,Aggregated,4346,399,3800.0,6079.051157651624,0.6971249999878637,40118.733125,313.84882650713297,7.255764318268376,0.6661412708212339,3800,5200,6300,7200,15000,21000,29000,32000,39000,40000,40000
