Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/digital-prf/[id],301,0,2900.0,3613.1876522757475,1543.684541999994,9175.854999999998,1297.3654485049833,1.6916654463756478,0.0,2900,3800,4400,4900,5700,6900,8100,8900,9200,9200,9200
PATCH,PATCH /api/digital-prf/[id] (autosave),899,0,3500.0,3880.36196988654,1554.3200830000073,11919.647000000004,83.6662958843159,5.052515735188397,0.0,3500,3900,4300,4500,5600,6500,7800,8600,12000,12000,12000
POST,POST /api/crew/login,50,0,9400.0,9208.24777758,5158.207875,15067.286958,783.0,0.2810075492318352,0.0,9500,10000,10000,11000,14000,15000,15000,15000,15000,15000,15000
POST,POST /api/digital-prf (create),154,0,9600.0,9820.80909983117,3785.264208000001,16619.479959000004,122.0,0.8655032516340524,0.0,9700,12000,12000,13000,14000,15000,16000,16000,17000,17000,17000
POST,POST /api/digital-prf/[id]/mark-time,300,0,2800.0,3220.16748207,1716.6538339999988,6562.589000000003,239.51333333333332,1.686045295391011,0.0,2800,2900,3000,3500,5600,5700,5800,6000,6600,6600,6600
POST,POST /api/digital-prf/[id]/submit,121,0,2000.0,2184.596545066117,827.1249999999952,11825.038625000005,199.0,0.6800382691410412,0.0,2000,2200,2700,2800,3300,3600,4200,7000,12000,12000,12000
,Aggregated,1825,0,3400.0,4262.585375939723,827.1249999999952,16619.479959000004,339.5035616438356,10.256775546961984,0.0,3400,4000,4800,5500,7300,10000,13000,14000,16000,17000,17000
