Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/digital-prf/[id],2633,17,3600.0,4775.86308231751,4.564416999983223,154712.1722080001,1290.2590201291302,0.24381726421740585,0.0015742094537394226,3600,4600,5400,6000,7600,9700,14000,17000,67000,155000,155000
PATCH,PATCH /api/digital-prf/[id] (autosave),7938,148,4400.0,5283.320748801314,2.7334999999766296,157659.35845900004,82.97732426303855,0.7350632143402079,0.013704882303143208,4400,5400,6300,6700,8300,10000,13000,15000,69000,158000,158000
POST,POST /api/crew/login,50,0,16000.0,14778.36171748,3473.2067500000003,30022.350167,783.0,0.004630027805115949,0.0,17000,18000,20000,21000,23000,24000,30000,30000,30000,30000,30000
POST,POST /api/digital-prf (create),72773,71450,11,474.91466190708303,0.8049170000958839,160940.0931250001,38.54342956865871,6.738820269234059,6.616309733510691,11,13,14,16,1000,2900,5300,10000,22000,74000,161000
POST,POST /api/digital-prf/[id]/mark-time,2646,21,3500.0,4414.414823474677,2.71266699996886,154435.0069159999,238.08767951625094,0.245021071446736,0.0019446116781486984,3500,4100,4800,5400,6700,8200,11000,13000,154000,154000,154000
POST,POST /api/digital-prf/[id]/submit,1103,34,3200.0,4038.2703613671792,3.207708999980241,63385.504790999905,194.22665457842248,0.10213841338085783,0.003148418907478845,3200,4000,4900,5400,6800,9000,13000,15000,48000,63000,63000
,Aggregated,87143,71670,12,1215.8002846822785,0.8049170000958839,160940.0931250001,88.86782644618616,8.069490260424383,6.6366818558532,12,15,850,2500,4200,6100,9100,12000,30000,155000,161000
