Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/digital-prf/[id],273,5,11000.0,12899.683979549447,1712.8822080000105,52311.250332999996,1272.8461538461538,1.5246536251233498,0.02792405906819322,11000,14000,16000,19000,22000,28000,31000,45000,52000,52000,52000
PATCH,PATCH /api/digital-prf/[id] (autosave),603,2,8700.0,10361.624145232157,2475.0881249999848,48815.574832999984,83.67164179104478,3.367641523624102,0.011169623627277287,8700,11000,12000,12000,16000,20000,21000,25000,49000,49000,49000
POST,POST /api/crew/login,200,60,29000.0,32631.303249375007,2637.453125,63692.05966700001,583.5,1.1169623627277288,0.33508870881831865,29000,40000,55000,55000,56000,63000,64000,64000,64000,64000,64000
POST,POST /api/digital-prf (create),199,58,31000.0,34068.63386791958,12462.894875000018,61297.998959000004,120.83417085427136,1.1113775509140902,0.32391908519104134,31000,41000,46000,49000,55000,58000,60000,60000,61000,61000,61000
POST,POST /api/digital-prf/[id]/mark-time,280,1,10000.0,11385.369274999994,6832.8326669999915,41850.988458,239.0857142857143,1.5637473078188202,0.005584811813638644,10000,12000,15000,15000,16000,23000,24000,31000,42000,42000,42000
POST,POST /api/digital-prf/[id]/submit,7,0,5900.0,6911.7476727142885,5825.355834000021,9430.355584000012,199.0,0.039093682695470505,0.0,5900,6100,9400,9400,9400,9400,9400,9400,9400,9400,9400
,Aggregated,1562,126,11000.0,16844.992001467366,1712.8822080000105,63692.05966700001,388.61971830985914,8.723476052903562,0.7036862885184691,11000,15000,19000,23000,39000,54000,57000,60000,64000,64000,64000
