Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/digital-prf/[id],323,0,7800.0,8254.128581907124,2188.8860420000074,25208.585875000004,1267.1640866873065,1.8055054728593922,0.0,7800,8900,9600,10000,13000,17000,19000,25000,25000,25000,25000
PATCH,PATCH /api/digital-prf/[id] (autosave),640,2,6900.0,8133.55802194063,3861.2052920000083,34980.193458,83.68125,3.577472144365359,0.011179600451141747,6900,8400,9100,10000,13000,16000,21000,22000,35000,35000,35000
POST,POST /api/crew/login,100,4,15000.0,15433.754639559998,5890.807667000001,54008.216791,756.4,0.5589800225570873,0.022359200902283494,15000,17000,19000,20000,26000,27000,29000,54000,54000,54000,54000
POST,POST /api/digital-prf (create),195,5,18000.0,17821.067514097438,7215.508958000001,46166.362417000004,121.8974358974359,1.0900110439863204,0.027949001127854367,18000,22000,24000,24000,29000,32000,38000,38000,46000,46000,46000
POST,POST /api/digital-prf/[id]/mark-time,350,0,5800.0,7029.304116062855,3976.4717499999874,22675.932499999988,239.49714285714285,1.9564300789498057,0.0,5800,7200,8500,8800,9500,11000,14000,16000,23000,23000,23000
POST,POST /api/digital-prf/[id]/submit,79,0,7400.0,8550.768041227848,2840.6527920000003,22360.37499999999,199.0,0.441594217820099,0.0,7400,9700,11000,11000,15000,17000,19000,22000,22000,22000,22000
,Aggregated,1687,11,7900.0,9499.591826367534,2188.8860420000074,54008.216791,392.29697688203913,9.429992980538064,0.06148780248127961,7900,9100,11000,12000,18000,23000,28000,30000,46000,54000,54000
